Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Anisote du Manitoba,,Préoccupante,2019-11-29,Anisota manitobensis,Anisote du Manitoba,,Préoccupante,2024-06-10,Annexe 1,2024-06-10,Manitoba,Arthropodes,,Ajout à la liste
Antennaire stolonifère,,En voie de disparition,2004-05-01,Antennaria flagellaris,Antennaire stolonifère,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Anzie mousse-noire,,Menacée,2015-05-01,Anzia colpodes,Anzie mousse-noire,,Menacée,2019-02-25,Annexe 1,2019-02-25,"Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec",Lichens,,Ajout à la liste
Apantèse compliquée,,Menacée,2013-05-03,Grammia complicata,Apantèse compliquée,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Arthropodes,Un ajout,En attente
Arabette du Québec,,En voie de disparition,2017-11-01,Boechera quebecensis,Arabette du Québec,,En voie de disparition,2021-04-23,Annexe 1,2021-04-23,Québec,Plantes vasculaires,,Ajout à la liste
Arisème dragon,,Préoccupante,1984-04-01,Arisaema dracontium,Arisème dragon,,,,,,"Ontario, Québec",Plantes vasculaires,,
Aristide à rameaux basilaires,,En voie de disparition,2002-11-01,Aristida basiramea,Aristide à rameaux basilaires,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,"Ontario, Québec",Plantes vasculaires,,Ajout à la liste
Arlequin plongeur,Population de l'Est,Préoccupante,2013-11-01,Histrionicus histrionicus,Arlequin plongeur,Population de l'Est,Préoccupante,2003-06-05,Annexe 1,2003-06-05,"Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Québec, Terre-Neuve-et-Labrador",Oiseaux,,Ajout à la liste
Arméria de l’Athabasca,,Préoccupante,2018-04-27,Armeria maritima ssp. interior,Arméria de l’Athabasca,,Préoccupante,2005-01-12,Annexe 1,2005-01-12,Saskatchewan,Plantes vasculaires,,Ajout à la liste
Armoise de Wood,,Non en péril,1997-04-01,Artemisia rupestris ssp. woodii,,,Aucun statut,,Aucune annexe,,Yukon,Plantes vasculaires,,
Arnica de Griscom,,Menacée,2014-11-28,Arnica griscomii ssp. griscomii,Arnica de Griscom,,Menacée,2019-02-25,Annexe 1,2019-02-25,"Québec, Terre-Neuve-et-Labrador",Plantes vasculaires,,Ajout à la liste
Arnoglosse plantain,,Préoccupante,2002-05-01,Arnoglossum plantagineum,Arnoglosse plantain,,Préoccupante,2005-01-12,Annexe 1,2005-01-12,Ontario,Plantes vasculaires,,Ajout à la liste
Asclépiade à quatre feuilles,,En voie de disparition,2010-04-25,Asclepias quadrifolia,Asclépiade à quatre feuilles,,Aucun statut,2012-07-04,Aucune annexe,,Ontario,Plantes vasculaires,,Ne pas inscrire
Asile de l'Okanagan,,En voie de disparition,2011-11-25,Efferia okanagana,Asile de l'Okanagan,,En voie de disparition,2017-02-03,Annexe 1,2017-02-03,Colombie-Britannique,Arthropodes,,Ajout à la liste
Asile de la côte Ouest,,Préoccupante,2024-05-09,Lasiopogon pacificus,Asile de la côte Ouest,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Arthropodes,Un ajout,En attente
Aster à rameaux étalés,,Préoccupante,2023-12-01,Eurybia divaricata,Aster à rameaux étalés,,Menacée,,Annexe 1,2005-01-12,"Ontario, Québec",Plantes vasculaires,Changement de statut,En attente
Aster d'Anticosti,,Préoccupante,2017-04-28,Symphyotrichum anticostense,Aster d'Anticosti,,Préoccupante,2021-08-12,Annexe 1,2003-06-05,"Nouveau-Brunswick, Québec",Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Aster de la Nahanni,,Préoccupante,2014-05-02,Symphyotrichum nahanniense,Aster de la Nahanni,,Préoccupante,2018-02-02,Annexe 1,2018-02-02,Territoires-du-Nord-Ouest,Plantes vasculaires,,Ajout à la liste
Aster de Short,,Non en péril,1999-04-01,Symphyotrichum shortii,,,Aucun statut,,Aucune annexe,,Ontario,Plantes vasculaires,,
Aster du golfe Saint-Laurent,,En voie de disparition,2023-05-05,Symphyotrichum laurentianum,Aster du golfe Saint-Laurent,,Menacée,,Annexe 1,2005-07-14,"Île-du-Prince-Édouard, Nouveau-Brunswick, Québec",Plantes vasculaires,Changement de statut,En attente
Aster du Yukon,,Non en péril,1996-04-01,Symphyotrichum yukonense,,,Aucun statut,,Aucune annexe,,"Territoires-du-Nord-Ouest, Yukon",Plantes vasculaires,,
Aster fausse-prenanthe,,Préoccupante,2012-11-25,Symphyotrichum prenanthoides,Aster fausse-prenanthe,,Préoccupante,2018-02-02,Annexe 1,2005-01-12,Ontario,Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Aster feuillu,,En voie de disparition,2006-04-29,Symphyotrichum frondosum,Aster feuillu,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Aster râpette,,Menacée,2024-05-09,Eurybia radulina,Aster râpette,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,Un ajout,En attente
Aster rigide,,Préoccupante,2009-04-26,Sericocarpus rigidus,Aster rigide,,Préoccupante,2011-02-04,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Aster soyeux,,Menacée,2021-05-05,Symphyotrichum sericeum,Aster soyeux,,Menacée,2003-06-05,Annexe 1,2003-06-05,"Manitoba, Ontario",Plantes vasculaires,,Ajout à la liste
Aster subulé,,Non en péril,2017-04-28,Symphyotrichum subulatum,Aster subulé,Population de Bathurst,,,,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Québec",Plantes vasculaires,,
Aster très élevé,,Préoccupante,2024-05-09,Symphyotrichum praealtum,Aster très élevé,,Menacée,,Annexe 1,2005-01-12,Ontario,Plantes vasculaires,Changement de statut,En attente
Astragale de Fernald,,Préoccupante,2001-11-01,Astragalus robbinsii var. fernaldii,Astragale de Fernald,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,"Québec, Terre-Neuve-et-Labrador",Plantes vasculaires,,Ajout à la liste
Autour des palombes de la sous-espèce atricapillus,,Non en péril,1995-04-01,Accipiter gentilis atricapillus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Autour des palombes de la sous-espèce laingi,,Menacée,2013-05-03,Accipiter gentilis laingi,Autour des palombes de la sous-espèce laingi,,Menacée,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Oiseaux,,Ajout à la liste
Azolle du Mexique,,Menacée,2008-11-28,Azolla mexicana,Azolle du Mexique,,Menacée,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Baccharis à feuilles d'arroche,,Menacée,2011-11-25,Baccharis halimifolia,Baccharis à feuilles d'arroche,,Menacée,2017-06-02,Annexe 1,2017-06-02,Nouvelle-Écosse,Plantes vasculaires,,Ajout à la liste
Baleine à bec commune,,Non active,1996-04-01,Hyperoodon ampullatus,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,,
Baleine à bec commune,"Population du détroit de Davis, de la baie de Baffin et de la mer du Labrador",Préoccupante,2024-11-28,Hyperoodon ampullatus,Baleine à bec commune,"Population du détroit de Davis, de la baie de Baffin et de la mer du Labrador",Aucun statut,,Aucune annexe,,"Nunavut, Océan Atlantique, Terre-Neuve-et-Labrador",Mammifères marins,Un ajout,En attente
Baleine à bec commune,Population du plateau néo-écossais,En voie de disparition,2024-11-28,Hyperoodon ampullatus,Baleine à bec commune,Population du plateau néo-écossais,En voie de disparition,2006-04-06,Annexe 1,2006-04-06,"Nouvelle-Écosse, Océan Atlantique, Terre-Neuve-et-Labrador",Mammifères marins,,Ajout à la liste
Baleine à bec de Blainville,,Non en péril,1989-04-01,Mesoplodon densirostris,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,,
Baleine à bec de Cuvier,,Non en péril,1990-04-01,Ziphius cavirostris,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Baleine à bec de Hubbs,,Non en péril,1989-04-01,Mesoplodon carlhubbsi,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Baleine à bec de Sowerby,,Préoccupante,2019-05-03,Mesoplodon bidens,Baleine à bec de Sowerby,,Préoccupante,2011-06-23,Annexe 1,2011-06-23,Océan Atlantique,Mammifères marins,,Ajout à la liste
Baleine à bec de Stejneger,,Non en péril,1989-04-01,Mesoplodon stejneri,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Baleine à bec de True,,Non en péril,1989-04-01,Mesoplodon mirus,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,,
Baleine boréale,Population de l'est de l'Arctique,Non active,2005-05-05,Balaena mysticetus,Baleine boréale,Population de l'est de l'Arctique,,,,,Océan Arctique,Mammifères marins,,
Baleine boréale,Population de la baie d'Hudson et du bassin de Foxe,Non active,2009-04-26,Balaena mysticetus,Baleine boréale,Population de la baie d'Hudson et du bassin de Foxe,Aucun statut,,Aucune annexe,,Océan Arctique,Mammifères marins,,
Baleine boréale,Population de l’est du Canada et de l’ouest du Groenland,Préoccupante,2009-04-26,Balaena mysticetus,Baleine boréale,Population de l’est du Canada et de l’ouest du Groenland,Aucun statut,,Aucune annexe,,Océan Arctique,Mammifères marins,Un ajout,En attente
Baleine boréale,"Population des mers de Béring, des Tchouktches et de Beaufort",Préoccupante,2009-04-26,Balaena mysticetus,Baleine boréale,"Population des mers de Béring, des Tchouktches et de Beaufort",Préoccupante,2007-12-13,Annexe 1,2007-12-13,Océan Arctique,Mammifères marins,,Ajout à la liste
Baleine boréale,Population du détroit de Davis et de la baie de Baffin,Non active,2009-04-26,Balaena mysticetus,Baleine boréale,Population du détroit de Davis et de la baie de Baffin,Aucun statut,,Aucune annexe,,Océan Arctique,Mammifères marins,,
Baleine boréale,Populations de l'est et de l'ouest de l'Arctique,Non active,1986-04-01,Balaena mysticetus,Baleine boréale,Populations de l'est et de l'ouest de l'Arctique,,,Aucune annexe,,Océan Arctique,Mammifères marins,,
Baleine de Baird,,Non en péril,1992-04-01,Berardius bairdii,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
