Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Couleuvre à queue pointue,,Non active,2021-12-01,Contia tenuis,Couleuvre à queue fine,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Reptiles,,Ajout à la liste
Couleuvre à queue pointue,Population de la côte du Pacifique,Menacée,2021-12-01,Contia tenuis,Couleuvre à queue fine,Population de la côte du Pacifique,Aucun statut,,Aucune annexe,,Colombie-Britannique,Reptiles,Un ajout,En attente
Couleuvre à queue pointue,Population de la chaîne Côtière,En voie de disparition,2021-12-01,Contia tenuis,Couleuvre à queue pointue,Population de la chaîne Côtière,Aucun statut,,Aucune annexe,,Colombie-Britannique,Reptiles,Un ajout,En attente
Couleuvre agile à ventre jaune de l'Est,,Menacée,2015-11-26,Coluber constrictor flaviventris,Couleuvre agile à ventre jaune de l'Est,,Menacée,2006-08-15,Annexe 1,2006-08-15,"Alberta, Saskatchewan",Reptiles,,Ajout à la liste
Couleuvre agile à ventre jaune de l'Ouest,,Menacée,2015-11-26,Coluber constrictor mormon,Couleuvre agile à ventre jaune de l'Ouest,,Menacée,2023-02-03,Annexe 1,2006-08-15,Colombie-Britannique,Reptiles,,Promouvoir: Préoccupante à menacée
Couleuvre agile bleue,,En voie de disparition,2012-05-04,Coluber constrictor foxii,Couleuvre agile bleue,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Ontario,Reptiles,,Ajout à la liste
Couleuvre brune,,Non en péril,2002-05-01,Storeria dekayi,,,Aucun statut,,Aucune annexe,,"Ontario, Québec",Reptiles,,
Couleuvre d'eau,,Non en péril,2002-05-01,Nerodia sipedon sipedon,,,Aucun statut,,Aucune annexe,,"Ontario, Québec",Reptiles,,
Couleuvre d'eau du lac Érié,,Préoccupante,2015-11-26,Nerodia sipedon insularum,Couleuvre d'eau du lac Érié,,Préoccupante,2019-02-25,Annexe 1,2009-03-05,Ontario,Reptiles,,Rétrograder: En voie de disparition à préoccupante
Couleuvre du Nord-Ouest,,Non en péril,2003-05-01,Thamnophis ordinoides,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Reptiles,,
Couleuvre fauve de l'Est,,Non active,2008-04-25,Pantherophis vulpinus,Couleuvre fauve de l'Est,,Aucun statut,2010-02-23,Aucune annexe,2003-06-05,Ontario,Reptiles,,Retirer - Réaffectation ES
Couleuvre fauve de l'Est,Population carolinienne,Menacée,2021-12-01,Pantherophis vulpinus,Couleuvre fauve de l'Est,Population carolinienne,En voie de disparition,,Annexe 1,2003-06-05,Ontario,Reptiles,Changement de statut,En attente
Couleuvre fauve de l'Est,Population des Grands Lacs et du Saint-Laurent,Menacée,2021-12-01,Pantherophis vulpinus,Couleuvre fauve de l'Est,Population des Grands Lacs et du Saint-Laurent,En voie de disparition,,Annexe 1,2003-06-05,Ontario,Reptiles,Changement de statut,En attente
Couleuvre gaufre de Say,,Préoccupante,2017-04-28,Pituophis catenifer sayi,Couleuvre gaufre de Say,,Préoccupante,2021-08-12,Annexe 1,2021-08-12,"Alberta, Saskatchewan",Reptiles,,Ajout à la liste
Couleuvre mince,Population de l'Atlantique,Menacée,2012-11-25,Thamnophis sauritus,Couleuvre mince,Population de l'Atlantique,Menacée,2005-01-12,Annexe 1,2005-01-12,Nouvelle-Écosse,Reptiles,,Ajout à la liste
Couleuvre mince,Population des Grands Lacs,Préoccupante,2012-11-25,Thamnophis sauritus,Couleuvre mince,Population des Grands Lacs,Préoccupante,2005-01-12,Annexe 1,2005-01-12,"Ontario, Québec",Reptiles,,Ajout à la liste
Couleuvre nocturne du désert,,En voie de disparition,2011-05-06,Hypsiglena chlorophaea,Couleuvre nocturne du désert,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Reptiles,,Ajout à la liste
Couleuvre ratière grise,,Non active,2007-04-22,Pantherophis spiloides,Couleuvre ratière grise,,Aucun statut,2009-03-05,Aucune annexe,2003-06-05,Ontario,Reptiles,,Retirer - Réaffectation ES
Couleuvre ratière grise,Population carolinienne,En voie de disparition,2018-04-27,Pantherophis spiloides,Couleuvre ratière grise,Population carolinienne,En voie de disparition,2009-03-05,Annexe 1,2003-06-05,Ontario,Reptiles,,Promouvoir: Menacée à en voie de disparition
Couleuvre ratière grise,Population des Grands Lacs et du Saint-Laurent,Menacée,2018-04-27,Pantherophis spiloides,Couleuvre ratière grise,Population des Grands Lacs et du Saint-Laurent,Menacée,,Annexe 1,2003-06-05,Ontario,Reptiles,,
Couleuvre royale,,En voie de disparition,2010-04-25,Regina septemvittata,Couleuvre royale,,En voie de disparition,2012-06-20,Annexe 1,2003-06-05,Ontario,Reptiles,,Promouvoir: Menacée à en voie de disparition
Couleuvre tachetée,,Préoccupante,2014-05-02,Lampropeltis triangulum,Couleuvre tachetée,,Préoccupante,2005-01-12,Annexe 1,2005-01-12,"Ontario, Québec",Reptiles,,Ajout à la liste
Courlis à long bec,,Menacée,2024-05-09,Numenius americanus,Courlis à long bec,,Préoccupante,,Annexe 1,2005-01-12,"Alberta, Colombie-Britannique, Saskatchewan",Oiseaux,Changement de statut,En attente
Courlis esquimau,,En voie de disparition,2009-11-27,Numenius borealis,Courlis esquimau,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Alberta, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Ajout à la liste
Crapaud de Fowler,,En voie de disparition,2010-04-25,Anaxyrus fowleri,Crapaud de Fowler,,En voie de disparition,2012-06-20,Annexe 1,2003-06-05,Ontario,Amphibiens,,Promouvoir: Menacée à en voie de disparition
Crapaud de l'Ouest,,Non active,2012-11-25,Anaxyrus boreas,Crapaud de l'Ouest,,Aucun statut,2018-05-30,Aucune annexe,2005-01-12,"Alberta, Colombie-Britannique, Territoires-du-Nord-Ouest, Yukon",Amphibiens,,Retirer - Réaffectation ES
Crapaud de l'Ouest,Population chantante,Préoccupante,2012-11-25,Anaxyrus boreas,Crapaud de l'Ouest,Population chantante,Préoccupante,,Annexe 1,2005-01-12,"Alberta, Colombie-Britannique",Amphibiens,,
Crapaud de l'Ouest,Population non-chantante,Préoccupante,2012-11-25,Anaxyrus boreas,Crapaud de l'Ouest,Population non-chantante,Préoccupante,,Annexe 1,2005-01-12,"Alberta, Colombie-Britannique, Territoires-du-Nord-Ouest, Yukon",Amphibiens,,
Crapaud des plaines,,Non en péril,2003-05-01,Spea bombifrons,,,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Saskatchewan",Amphibiens,,
Crapaud des Grandes Plaines,,Préoccupante,2023-05-05,Anaxyrus cognatus,Crapaud des steppes,,Préoccupante,2005-01-12,Annexe 1,2005-01-12,"Alberta, Manitoba, Saskatchewan",Amphibiens,,Ajout à la liste
Crapaud du Canada,,Non en péril,2003-05-01,Bufo hemiophrys,,,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Saskatchewan, Territoires-du-Nord-Ouest",Amphibiens,,
Crapaud pied-bêche du Grand Bassin,,Menacée,2019-11-29,Spea intermontana,Crapaud du Grand Bassin,,Menacée,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Amphibiens,,Ajout à la liste
Crapet du Nord,,Non active,2016-04-29,Lepomis peltastes,,,Aucun statut,,Aucune annexe,,"Ontario, Québec",Poissons d'eau douce,,
Crapet du Nord,Populations de la rivière Saskatchewan et du fleuve Nelson,Non en péril,2016-04-29,Lepomis peltastes,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Crapet du Nord,Populations des Grands Lacs et du haut Saint-Laurent,Préoccupante,2016-04-29,Lepomis peltastes,Crapet du Nord,Populations des Grands Lacs et du haut Saint-Laurent,Préoccupante,2019-08-08,Annexe 1,2019-08-08,"Ontario, Québec",Poissons d'eau douce,,Ajout à la liste
Crapet menu,,Non active,2008-04-25,Lepomis humilis,Crapet menu,,,,,,Ontario,Poissons d'eau douce,,
Crapet rouge,,Données insuffisantes,2008-04-25,Lepomis auritus,Crapet rouge,,,,,,Nouveau-Brunswick,Poissons d'eau douce,,
Crapet sac-à-lait,,En voie de disparition,2015-05-01,Lepomis gulosus,Crapet sac-à-lait,,Préoccupante,,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,Changement de statut,En attente
Crapet vert,,Non en péril,1987-04-01,Lepomis cyanellus,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Crayon d'argent,,Non en péril,1989-04-01,Labidesthes sicculus,,,Aucun statut,,Aucune annexe,,"Ontario, Québec",Poissons d'eau douce,,
Criquet de l'armoise,,Préoccupante,2012-11-25,Hypochlora alba,Criquet de l'armoise,,Préoccupante,2018-02-02,Annexe 1,2018-02-02,"Alberta, Manitoba, Saskatchewan",Arthropodes,,Ajout à la liste
Criquet des Îles-de-la-Madeleine,,Préoccupante,2016-11-27,Melanoplus madeleineae,Criquet des Îles-de-la-Madeleine,,Préoccupante,2021-08-12,Annexe 1,2021-08-12,Québec,Arthropodes,,Ajout à la liste
Criquet du lac Huron,,Menacée,2015-11-26,Trimerotropis huroniana,Criquet du lac Huron,,Menacée,2021-08-12,Annexe 1,2021-08-12,Ontario,Arthropodes,,Ajout à la liste
Criquet énigmatique,,En voie de disparition,2024-11-28,Oedaleonotus enigma,Criquet énigmatique,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Arthropodes,Un ajout,En attente
Crotale de l'Ouest,,Menacée,2015-05-01,Crotalus oreganus,Crotale de l'Ouest,,Menacée,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Reptiles,,Ajout à la liste
Crotale des bois,,Disparue du pays,2023-05-05,Crotalus horridus,Crotale des bois,,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Ontario,Reptiles,,Ajout à la liste
Crotale des prairies,,Préoccupante,2015-05-01,Crotalus viridis,Crotale des prairies,,Préoccupante,2019-02-25,Annexe 1,2019-02-25,"Alberta, Saskatchewan",Reptiles,,Ajout à la liste
Cryptanthe minuscule,,Menacée,2012-05-04,Cryptantha minima,Cryptanthe minuscule,,Menacée,2017-02-03,Annexe 1,2003-06-05,"Alberta, Saskatchewan",Plantes vasculaires,,Rétrograder: En voie de disparition à menacée
Cygne trompette,,Non en péril,1996-04-01,Cygnus buccinator,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Ontario, Saskatchewan, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Cypripède blanc,,Menacée,2014-11-28,Cypripedium candidum,Cypripède blanc,,Menacée,2019-02-25,Annexe 1,2003-06-05,"Manitoba, Ontario",Plantes vasculaires,,Rétrograder: En voie de disparition à menacée
Dalée velue,,Préoccupante,2011-11-25,Dalea villosa,Dalée velue,,Préoccupante,2017-02-03,Annexe 1,2003-06-05,"Manitoba, Saskatchewan",Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Daltonie faux-splachne,,En voie de disparition,2019-05-03,Daltonia splachnoides,Daltonie faux-splachne,,En voie de disparition,2023-02-03,Annexe 1,2023-02-03,Colombie-Britannique,Mousses,,Ajout à la liste
Damier de Taylor,,En voie de disparition,2011-05-06,Euphydryas editha taylori,Damier de Taylor,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Arthropodes,,Ajout à la liste
Dard de rivière,,Non active,2016-04-29,Percina shumardi,,,Aucun statut,,Aucune annexe,,"Manitoba, Ontario",Poissons d'eau douce,,
Dard de rivière,Populations de la rivière Saskatchewan et du fleuve Nelson,Non en péril,2016-04-29,Percina shumardi,,,Aucun statut,,Aucune annexe,,"Manitoba, Ontario, Saskatchewan",Poissons d'eau douce,,
Dard de rivière,Populations des Grands Lacs et du haut Saint-Laurent,En voie de disparition,2016-04-29,Percina shumardi,Dard de rivière,Populations des Grands Lacs et du haut Saint-Laurent,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,Un ajout,En attente
Dard de rivière,Populations du sud de la baie d'Hudson et de la baie James,Non en péril,2016-04-29,Percina shumardi,,,Aucun statut,,Aucune annexe,,"Manitoba, Ontario",Poissons d'eau douce,,
Dard de sable,,Non active,2009-11-27,Ammocrypta pellucida,Dard de sable,,Aucun statut,2003-06-05,Aucune annexe,,"Ontario, Québec",Poissons d'eau douce,,Ajout à la liste
Dard de sable,Population du lac West,Menacée,2022-05-11,Ammocrypta pellucida,Dard de sable,Population du lac West,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,Un ajout,En attente
Dard de sable,Population du sud-ouest de l'Ontario,Menacée,2022-05-11,Ammocrypta pellucida,Dard de sable,Population du sud-ouest de l'Ontario,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,Un ajout,En attente
Dard de sable,Population de l'Ontario,Non active,2022-05-11,Ammocrypta pellucida,Dard de sable,Populations de l'Ontario,Menacée,,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,,
Dard de sable,Population du Québec,Préoccupante,2022-05-11,Ammocrypta pellucida,Dard de sable,Populations du Québec,Menacée,,Annexe 1,2003-06-05,Québec,Poissons d'eau douce,Changement de statut,En attente
Dard vert,,Non en péril,2006-11-24,Etheostoma blennioides,Dard vert,,,,,,Ontario,Poissons d'eau douce,,
Dauphin à dos lisse,,Non en péril,1990-04-01,Lissodelphis borealis,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Dauphin à flancs blancs de l'Atlantique,,Non en péril,1991-04-01,Lagenorhynchus acutus,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,,
Dauphin à flancs blancs du Pacifique,,Non en péril,1990-04-01,Lagenorhynchus obliquidens,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Dauphin à nez blanc,,Non en péril,1998-04-01,Lagenorhynchus albirostris,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,,
Dauphin bleu,,Non en péril,1993-04-01,Stenella coeruleoalba,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Dauphin commun à bec court,,Non en péril,1991-04-01,Delphinus delphis,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Dégélie plombée,,Préoccupante,2010-11-26,Degelia plumbea,Dégélie plombée,,Préoccupante,2017-06-02,Annexe 1,2017-06-02,"Nouveau-Brunswick, Nouvelle-Écosse, Terre-Neuve-et-Labrador",Lichens,,Ajout à la liste
Deschampsie du bassin du Mackenzie,,Préoccupante,2018-04-27,Deschampsia mackenzieana,Deschampsie du bassin du Mackenzie,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,"Saskatchewan, Territoires-du-Nord-Ouest",Plantes vasculaires,,Ajout à la liste
Desmodie d'Illinois,,Disparue du pays,2000-05-01,Desmodium illinoense,Desmodie d'Illinois,,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Dolly Varden,Populations de l'ouest de l'Arctique,Préoccupante,2010-11-26,Salvelinus malma malma,Dolly Varden,Populations de l'ouest de l'Arctique,Préoccupante,2017-04-13,Annexe 1,2017-04-13,"Territoires-du-Nord-Ouest, Yukon",Poissons d'eau douce,,Ajout à la liste
Doré bleu,,Disparue,2000-05-01,Sander vitreus glaucus,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Drave à graines imbriquées,,Préoccupante,2022-05-11,Draba pycnosperma,Drave à graines imbriquées,,Aucun statut,,Aucune annexe,,"Québec, Terre-Neuve-et-Labrador",Plantes vasculaires,Un ajout,En attente
Drave à longs pédicelles,,Données insuffisantes,1992-04-01,Draba juvenilis,,,Aucun statut,,Aucune annexe,,Alberta,Plantes vasculaires,,
Drave des monts de Puvirnituq,,Préoccupante,2019-11-29,Draba puvirnituqii,Drave des monts de Puvirnituq,,Préoccupante,2024-06-10,Annexe 1,2024-06-10,Québec,Plantes vasculaires,,Ajout à la liste
Drave du Yukon,,Préoccupante,2018-11-01,Draba yukonensis,Drave du Yukon,,Aucun statut,,Aucune annexe,,Yukon,Plantes vasculaires,Un ajout,En attente
Droséra filiforme,,En voie de disparition,2001-05-01,Drosera filiformis,Droséra filiforme,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Nouvelle-Écosse,Plantes vasculaires,,Ajout à la liste
Dryoptéride côtière,,Préoccupante,2021-05-05,Dryopteris arguta,Dryoptéride côtière,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Écureuil fauve,,Non en péril,1979-04-01,Sciurus niger,,,Aucun statut,,Aucune annexe,,"Manitoba, Ontario",Mammifères terrestres,,
Effraie des clochers,,Non active,1999-04-01,Tyto alba,Effraie des clochers,,,,Aucune annexe,,"Colombie-Britannique, Ontario, Québec",Oiseaux,,
Effraie des clochers,Population de l'Est,En voie de disparition,2010-11-26,Tyto alba,Effraie des clochers,Population de l'Est,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Oiseaux,,Ajout à la liste
Effraie des clochers,Population de l'Ouest,Menacée,2010-11-26,Tyto alba,Effraie des clochers,Population de l'Ouest,Menacée,2018-05-30,Annexe 1,2003-06-05,Colombie-Britannique,Oiseaux,,Promouvoir: Préoccupante à menacée
Eider du Labrador,,Disparue,2000-05-01,Camptorhynchus labradorius,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Québec, Terre-Neuve-et-Labrador",Oiseaux,,
Éléocharide fausse-prêle,,En voie de disparition,2000-11-01,Eleocharis equisetoides,Éléocharide fausse-prêle,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Éléocharide géniculée,Population des montagnes du Sud,En voie de disparition,2009-04-26,Eleocharis geniculata,Éléocharide géniculée,Population des montagnes du Sud,En voie de disparition,2011-02-04,Annexe 1,2011-02-04,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Éléocharide géniculée,Population des plaines des Grands Lacs,En voie de disparition,2009-04-26,Eleocharis geniculata,Éléocharide géniculée,Population des plaines des Grands Lacs,En voie de disparition,2011-02-04,Annexe 1,2011-02-04,Ontario,Plantes vasculaires,,Ajout à la liste
Éléocharide pourpre,,Non active,2008-04-25,Eleocharis atropurpurea,Éléocharide pourpre,,,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,,
Éléocharide tuberculée,,Préoccupante,2010-04-25,Eleocharis tuberculosa,Éléocharide tuberculée,,Préoccupante,2012-06-20,Annexe 1,2003-06-05,Nouvelle-Écosse,Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Éléphant de mer,,Non en péril,1986-04-01,Mirounga angustirostris,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Mammifères marins,,
Engoulevent bois-pourri,,Préoccupante,2022-12-03,Antrostomus vociferus,Engoulevent bois-pourri,,Menacée,,Annexe 1,2011-02-04,"Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Oiseaux,Changement de statut,En attente
Engoulevent d'Amérique,,Préoccupante,2018-04-27,Chordeiles minor,Engoulevent d'Amérique,,Préoccupante,2023-02-03,Annexe 1,2010-02-23,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Rétrograder: Menacée à préoccupante
Engoulevent de Nuttall,,Données insuffisantes,1993-04-01,Phalaenoptilus nuttallii,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Saskatchewan",Oiseaux,,
Entodon de Schleicher,,Données insuffisantes,2005-05-05,Entodon schleicheri,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Territoires-du-Nord-Ouest",Mousses,,
Entosthodon fasciculé,,Préoccupante,2015-05-01,Entosthodon fascicularis,Entosthodon fasciculé,,Préoccupante,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Mousses,,Ajout à la liste
Entosthodon rouilleux,,Préoccupante,2017-04-28,Entosthodon rubiginosus,Entosthodon rouilleux,,En voie de disparition,2021-09-01,Annexe 1,2006-08-15,"Colombie-Britannique, Saskatchewan",Mousses,,Renvoyer
Épaulard,Population de l'Atlantique Nord–Ouest et de l'est de l'Arctique,Préoccupante,2023-12-01,Orcinus orca,Épaulard,Population de l'Atlantique Nord–Ouest et de l'est de l'Arctique,Aucun statut,,Aucune annexe,,"Océan Arctique, Océan Atlantique",Mammifères marins,Un ajout,En attente
Épaulard,Population migratrice du Pacifique Nord-Est,Menacée,2023-12-01,Orcinus orca,Épaulard,Population migratrice du Pacifique Nord-Est,Menacée,2003-06-05,Annexe 1,2003-06-05,Océan Pacifique,Mammifères marins,,Ajout à la liste
Épaulard,Population océanique du Pacifique Nord-Est,Menacée,2023-12-01,Orcinus orca,Épaulard,Population océanique du Pacifique Nord-Est,Menacée,2011-06-23,Annexe 1,2003-06-05,Océan Pacifique,Mammifères marins,,Promouvoir: Préoccupante à menacée
Épaulard,Population résidente du nord du Pacifique Nord-Est,Menacée,2023-12-01,Orcinus orca,Épaulard,Population résidente du nord du Pacifique Nord-Est,Menacée,2003-06-05,Annexe 1,2003-06-05,Océan Pacifique,Mammifères marins,,Ajout à la liste
Épaulard,Population résidente du sud du Pacifique Nord-Est,En voie de disparition,2023-12-01,Orcinus orca,Épaulard,Population résidente du sud du Pacifique Nord-Est,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Océan Pacifique,Mammifères marins,,Ajout à la liste
Épaulard,Populations résidentes du Pacifique Nord,Non active,2001-11-01,Orcinus orca,Épaulard,Populations résidentes du Pacifique Nord,,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Éperlan arc-en-ciel,Population d'individus de grande taille du lac Utopia,En voie de disparition,2018-11-01,Osmerus mordax,Éperlan arc-en-ciel,Population d'individus de grande taille du lac Utopia,En voie de disparition,2020-10-06,Annexe 1,2019-08-08,Nouveau-Brunswick,Poissons d'eau douce,,Promouvoir: Menacée à en voie de disparition
Éperlan arc-en-ciel,Population d'individus de petite taille du lac Utopia,En voie de disparition,2018-11-01,Osmerus mordax,Éperlan arc-en-ciel,Population d'individus de petite taille du lac Utopia,En voie de disparition,2020-10-06,Annexe 1,2003-06-05,Nouveau-Brunswick,Poissons d'eau douce,,Promouvoir: Menacée à en voie de disparition
Éperlan d'hiver,Populations nain,Données insuffisantes,2004-11-01,Spirinchus thaleichthys,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,
Épervier brun,,Non en péril,1997-04-01,Accipiter striatus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Épervier de Cooper,,Non en péril,1996-04-01,Accipiter cooperii,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Oiseaux,,
Épilobe de Torrey,,En voie de disparition,2018-11-01,Epilobium torreyi,Épilobe de Torrey,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Epilobe densiflore,,En voie de disparition,2005-05-05,Epilobium densiflorum,Epilobe densiflore,,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Épinoche à trois épines benthique du lac Enos,,Disparue,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines benthique du lac Enos,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines benthique du lac Hadley,,Disparue,2000-05-01,Gasterosteus aculeatus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,
Épinoche à trois épines benthique du lac Little Quarry,,Menacée,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines benthique du lac Little Quarry,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,Un ajout,En attente
Épinoche à trois épines benthique du lac Paxton,,En voie de disparition,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines benthique du lac Paxton,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines benthique du ruisseau Vananda,,En voie de disparition,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines benthique du ruisseau Vananda,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines géante,,Préoccupante,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines géante,,Préoccupante,2019-08-08,Annexe 1,2019-08-08,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines lentique du lac Misty,,En voie de disparition,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines lentique du lac Misty,,En voie de disparition,2010-02-23,Annexe 1,2010-02-23,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines limnétique du lac Enos,,Disparue,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines limnétique du lac Enos,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines limnétique du lac Hadley,,Disparue,2000-05-01,Gasterosteus aculeatus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,
Épinoche à trois épines limnétique du lac Little Quarry,,Menacée,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines limnétique du lac Little Quarry,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,Un ajout,En attente
Épinoche à trois épines limnétique du lac Paxton,,En voie de disparition,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines limnétique du lac Paxton,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines limnétique du ruisseau Vananda,,En voie de disparition,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines limnétique du ruisseau Vananda,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoche à trois épines lisse,,En voie de disparition,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines lisse,,Préoccupante,,Annexe 1,2019-08-08,Colombie-Britannique,Poissons d'eau douce,Changement de statut,En attente
Épinoche à trois épines lotique du lac Misty,,En voie de disparition,2023-12-01,Gasterosteus aculeatus,Épinoche à trois épines lotique du lac Misty,,En voie de disparition,2010-02-23,Annexe 1,2010-02-23,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Épinoches à trois épines du lac Enos,,Non active,2002-11-01,Gasterosteus spp.,Épinoches du lac Enos,,,,,,Colombie-Britannique,Poissons d'eau douce,,
